,Entity ID,Gender,Marital Status,Dependents,Education,Entity's Income in INR,Entity's Family Income in INR,City Type,Average Expenditure per Entity per Month in INR
242,242,Female,Yes,3,Not Educated,43000,139000,B,10000
243,243,Male,No,4,Ph.d,43000,439000,A,15000
244,244,Male,Yes,5,Ph.d,46000,218000,B,10000
245,245,Male,No,1,Ph.d,42000,159000,B,10000
246,246,Male,Yes,0,UG,25000,340000,A,15000
247,247,Male,Yes,3,Ph.d,45000,406000,B,10000
248,248,Female,Yes,3,Ph.d,40000,486000,B,10000
249,249,Male,Yes,4,Ph.d,7000,443000,B,10000
250,250,Female,Yes,5,Ph.d,31000,52000,B,10000
251,251,Male,Yes,0,Ph.d,45000,377000,B,10000
252,252,Male,Yes,4,Ph.d,17000,458000,B,10000
253,253,Male,Yes,3,Ph.d,40000,421000,A,15000
254,254,Male,Yes,1,Ph.d,12000,314000,B,10000
255,255,Female,Yes,0,Not Educated,29000,345000,D,2500
256,256,Male,Yes,1,Ph.d,25000,463000,B,10000
257,257,Female,Yes,5,Not Educated,32000,114000,B,10000
258,258,Female,Yes,1,UG,16000,361000,D,2500
259,259,Male,No,4,Ph.d,17000,19000,A,15000
260,260,Male,No,3,UG,26000,245000,B,10000
261,261,Female,Yes,2,Ph.d,43000,413000,B,10000
262,262,Male,No,0,Ph.d,11000,410000,D,2500
263,263,Male,Yes,4,PG,11000,230000,B,10000
264,264,Male,Yes,4,PG,43000,123000,B,10000
265,265,Male,Yes,3,Ph.d,18000,87000,B,10000
266,266,Female,Yes,1,Ph.d,35000,469000,A,15000
267,267,Male,Yes,3,UG,11000,496000,B,10000
268,268,Male,No,2,Ph.d,32000,312000,D,2500
269,269,Female,Yes,3,Ph.d,37000,108000,C,5000
270,270,Female,No,5,PG,39000,63000,B,10000
271,271,Male,No,5,Ph.d,46000,488000,B,10000
272,272,Male,Yes,5,Ph.d,21000,90000,D,2500
273,273,Male,Yes,4,Ph.d,28000,449000,B,10000
274,274,Female,Yes,5,Ph.d,27000,364000,D,2500
275,275,Male,Yes,2,PG,14000,476000,B,10000
276,276,Male,Yes,3,Ph.d,40000,343000,D,2500
277,277,Male,Yes,5,UG,36000,376000,B,10000
278,278,Male,Yes,2,Ph.d,36000,483000,B,10000
279,279,Male,Yes,5,UG,8000,298000,B,10000
280,280,Male,Yes,4,Ph.d,45000,150000,B,10000
281,281,Male,No,1,Ph.d,32000,434000,A,15000
282,282,Female,Yes,4,UG,29000,167000,B,10000
283,283,Female,Yes,5,Not Educated,10000,424000,B,10000
284,284,Male,No,2,Ph.d,16000,282000,B,10000
285,285,Male,No,2,Ph.d,23000,120000,B,10000
286,286,Male,Yes,3,PG,34000,469000,D,2500
287,287,Male,Yes,4,Ph.d,19000,150000,B,10000
288,288,Male,Yes,4,Ph.d,39000,473000,B,10000
289,289,Male,Yes,1,PG,44000,54000,D,2500
290,290,Female,Yes,4,Ph.d,18000,122000,C,5000
291,291,Male,No,5,Ph.d,32000,209000,B,10000
292,292,Male,Yes,5,Ph.d,11000,128000,C,5000
293,293,Male,Yes,2,PG,39000,218000,C,5000
294,294,Male,No,1,UG,6000,100000,D,2500
295,295,Female,Yes,5,Ph.d,17000,272000,B,10000
296,296,Male,Yes,4,Ph.d,46000,313000,B,10000
297,297,Female,Yes,3,Ph.d,23000,135000,B,10000
298,298,Male,No,4,Ph.d,34000,157000,B,10000
299,299,Male,Yes,1,Ph.d,35000,306000,B,10000
300,300,Male,Yes,1,Not Educated,12000,241000,B,10000
301,301,Male,Yes,2,Ph.d,46000,294000,B,10000
302,302,Female,Yes,2,Ph.d,13000,431000,B,10000
303,303,Male,Yes,2,Ph.d,47000,169000,B,10000
304,304,Female,No,5,Ph.d,13000,259000,B,10000
305,305,Male,Yes,2,PG,27000,230000,D,2500
306,306,Male,Yes,5,Ph.d,7000,127000,B,10000
307,307,Male,Yes,3,Not Educated,26000,478000,B,10000
308,308,Male,Yes,5,Not Educated,47000,393000,D,2500
309,309,Male,Yes,3,PG,36000,426000,B,10000
310,310,Female,Yes,2,PG,7000,8000,A,15000
311,311,Female,Yes,2,Ph.d,26000,345000,B,10000
312,312,Male,Yes,4,Ph.d,37000,370000,B,10000
313,313,Female,Yes,5,PG,10000,99000,B,10000
314,314,Male,Yes,5,PG,30000,406000,B,10000
315,315,Female,Yes,2,UG,22000,88000,A,15000
316,316,Male,Yes,0,Ph.d,23000,237000,B,10000
317,317,Male,Yes,2,UG,6000,194000,C,5000
318,318,Male,Yes,1,Ph.d,46000,428000,B,10000
319,319,Male,Yes,0,Ph.d,11000,52000,D,2500
320,320,Male,No,3,Not Educated,25000,370000,B,10000
321,321,Male,No,4,Ph.d,25000,72000,B,10000
322,322,Male,Yes,4,Ph.d,45000,328000,B,10000
323,323,Female,Yes,1,UG,22000,191000,B,10000
324,324,Male,Yes,0,Ph.d,24000,192000,B,10000
325,325,Female,Yes,1,UG,46000,313000,B,10000
326,326,Male,Yes,0,Ph.d,9000,336000,B,10000
327,327,Male,No,5,Ph.d,38000,485000,B,10000
328,328,Male,No,2,Ph.d,17000,245000,C,5000
329,329,Female,Yes,0,PG,34000,369000,A,15000
330,330,Female,Yes,0,UG,37000,444000,C,5000
331,331,Male,Yes,1,Ph.d,45000,175000,B,10000
332,332,Male,No,0,UG,27000,68000,A,15000
333,333,Female,Yes,5,Ph.d,10000,225000,B,10000
334,334,Male,Yes,4,UG,17000,140000,B,10000
335,335,Male,Yes,3,Ph.d,37000,277000,A,15000
336,336,Male,Yes,0,Not Educated,20000,190000,B,10000
337,337,Male,Yes,5,Ph.d,30000,473000,B,10000
338,338,Male,Yes,4,Ph.d,24000,274000,B,10000
339,339,Male,Yes,3,Ph.d,6000,361000,B,10000
340,340,Female,Yes,5,UG,46000,130000,B,10000
341,341,Male,Yes,0,Not Educated,31000,396000,A,15000
342,342,Male,Yes,2,PG,14000,53000,B,10000
343,343,Female,Yes,2,Ph.d,33000,49000,B,10000
344,344,Male,Yes,1,UG,13000,230000,B,10000
345,345,Male,Yes,3,UG,40000,267000,A,15000
346,346,Female,Yes,0,Ph.d,26000,276000,C,5000
347,347,Male,Yes,5,PG,30000,178000,B,10000
348,348,Male,Yes,2,PG,28000,73000,B,10000
349,349,Male,Yes,5,Ph.d,31000,263000,B,10000
350,350,Female,No,2,PG,16000,238000,B,10000
351,351,Male,No,4,Ph.d,6000,195000,A,15000
352,352,Male,No,5,Ph.d,41000,168000,B,10000
353,353,Male,Yes,0,PG,43000,320000,B,10000
354,354,Male,Yes,3,Ph.d,26000,177000,D,2500
355,355,Female,Yes,1,Ph.d,36000,296000,D,2500
356,356,Male,No,5,Ph.d,20000,314000,D,2500
357,357,Male,Yes,1,PG,11000,465000,C,5000
358,358,Female,Yes,1,Ph.d,24000,399000,B,10000
359,359,Male,Yes,3,Ph.d,23000,381000,C,5000
360,360,Male,Yes,3,Not Educated,14000,29000,C,5000
361,361,Male,No,0,Not Educated,13000,166000,B,10000
362,362,Male,No,2,PG,18000,223000,B,10000
363,363,Male,No,1,UG,40000,259000,B,10000
364,364,Male,No,0,PG,9000,121000,B,10000
365,365,Male,Yes,1,PG,36000,237000,D,2500
366,366,Male,Yes,1,PG,34000,174000,B,10000
367,367,Male,No,3,UG,25000,362000,A,15000
368,368,Male,Yes,0,PG,21000,332000,B,10000
369,369,Male,Yes,2,Ph.d,49000,217000,B,10000
370,370,Male,Yes,3,Not Educated,23000,412000,B,10000
371,371,Male,Yes,5,Not Educated,48000,176000,A,15000
372,372,Female,Yes,5,Not Educated,13000,26000,C,5000
373,373,Male,Yes,2,Ph.d,40000,348000,B,10000
374,374,Male,Yes,5,Ph.d,37000,198000,B,10000
375,375,Male,Yes,1,PG,13000,149000,B,10000
376,376,Male,Yes,3,Ph.d,38000,124000,B,10000
377,377,Male,Yes,2,PG,43000,319000,B,10000
378,378,Male,No,1,Ph.d,42000,371000,B,10000
379,379,Female,Yes,1,Not Educated,6000,349000,A,15000
380,380,Male,Yes,0,Ph.d,43000,468000,B,10000
381,381,Male,Yes,0,PG,7000,64000,B,10000
382,382,Female,Yes,4,Ph.d,21000,269000,A,15000
383,383,Male,Yes,3,Ph.d,18000,465000,C,5000
384,384,Male,Yes,5,Ph.d,30000,125000,A,15000
385,385,Female,No,2,UG,45000,323000,A,15000
386,386,Male,Yes,5,PG,17000,139000,D,2500
387,387,Female,No,5,Not Educated,34000,390000,B,10000
388,388,Male,Yes,5,Ph.d,41000,208000,D,2500
389,389,Female,No,4,Not Educated,43000,296000,B,10000
390,390,Male,Yes,1,PG,46000,281000,B,10000
391,391,Male,Yes,1,Ph.d,33000,452000,D,2500
392,392,Male,Yes,3,UG,31000,90000,B,10000
393,393,Male,No,3,UG,18000,370000,A,15000
394,394,Male,Yes,2,PG,38000,110000,B,10000
395,395,Male,No,4,Ph.d,36000,86000,A,15000
396,396,Male,Yes,0,Not Educated,41000,233000,A,15000
397,397,Male,Yes,2,PG,32000,249000,B,10000
398,398,Male,Yes,4,UG,39000,54000,B,10000
399,399,Male,Yes,5,UG,44000,182000,C,5000
400,400,Male,No,0,Not Educated,25000,50000,B,10000
401,401,Male,No,4,UG,12000,490000,B,10000
402,402,Female,Yes,1,Not Educated,42000,382000,B,10000
403,403,Male,Yes,1,Ph.d,43000,482000,C,5000
404,404,Male,Yes,2,Ph.d,37000,424000,B,10000
405,405,Female,No,2,Ph.d,8000,359000,A,15000
406,406,Female,Yes,4,UG,35000,295000,B,10000
407,407,Male,No,2,Ph.d,20000,105000,D,2500
408,408,Female,Yes,4,PG,22000,104000,B,10000
409,409,Male,Yes,3,PG,28000,430000,D,2500
410,410,Male,Yes,0,Ph.d,21000,57000,B,10000
411,411,Male,Yes,1,Ph.d,10000,409000,B,10000
412,412,Female,Yes,5,Ph.d,37000,236000,B,10000
413,413,Female,Yes,4,Not Educated,37000,197000,B,10000
414,414,Female,Yes,0,Ph.d,10000,198000,B,10000
415,415,Male,No,2,UG,9000,465000,B,10000
416,416,Male,Yes,0,Ph.d,39000,420000,B,10000
417,417,Male,Yes,3,Ph.d,42000,442000,B,10000
418,418,Male,Yes,5,PG,15000,287000,C,5000
419,419,Female,No,1,Ph.d,38000,229000,B,10000
420,420,Male,Yes,4,Ph.d,21000,462000,A,15000
421,421,Male,Yes,1,Ph.d,21000,479000,A,15000
422,422,Male,No,5,Ph.d,19000,264000,B,10000
423,423,Female,Yes,4,Ph.d,46000,116000,B,10000
424,424,Male,Yes,5,Ph.d,23000,256000,B,10000
425,425,Male,Yes,5,Not Educated,7000,484000,D,2500
426,426,Male,No,0,Ph.d,45000,156000,B,10000
427,427,Male,Yes,0,Ph.d,9000,56000,B,10000
428,428,Male,Yes,3,Ph.d,41000,64000,B,10000
429,429,Male,Yes,4,Ph.d,29000,52000,B,10000
430,430,Male,No,2,Not Educated,30000,423000,B,10000
431,431,Female,No,2,PG,25000,457000,A,15000
432,432,Male,Yes,4,UG,41000,297000,B,10000
433,433,Male,Yes,1,PG,26000,403000,D,2500
434,434,Female,Yes,0,Ph.d,33000,469000,C,5000
435,435,Female,No,1,Not Educated,17000,350000,B,10000
436,436,Male,Yes,4,Ph.d,24000,96000,D,2500
437,437,Female,Yes,2,Ph.d,42000,88000,B,10000
438,438,Female,Yes,1,Ph.d,14000,164000,C,5000
439,439,Male,Yes,3,PG,24000,358000,C,5000
440,440,Male,Yes,4,Ph.d,46000,363000,D,2500
441,441,Male,No,5,Not Educated,28000,49000,B,10000
442,442,Male,Yes,0,Ph.d,11000,24000,B,10000
443,443,Female,Yes,2,Ph.d,14000,120000,B,10000
444,444,Female,Yes,2,Not Educated,13000,117000,B,10000
445,445,Male,Yes,1,UG,8000,468000,A,15000
446,446,Male,Yes,0,UG,32000,335000,B,10000
447,447,Male,No,0,UG,32000,388000,C,5000
448,448,Female,No,2,Ph.d,33000,397000,B,10000
449,449,Male,No,2,Ph.d,41000,475000,C,5000
450,450,Male,Yes,0,Ph.d,25000,327000,C,5000
451,451,Male,Yes,0,Ph.d,45000,303000,C,5000
452,452,Male,Yes,4,PG,47000,130000,B,10000
453,453,Female,Yes,3,PG,35000,322000,B,10000
454,454,Male,Yes,5,PG,21000,371000,A,15000
455,455,Male,No,3,Ph.d,33000,303000,B,10000
456,456,Male,Yes,3,PG,35000,79000,B,10000
457,457,Female,Yes,1,Ph.d,20000,152000,B,10000
458,458,Male,Yes,1,Ph.d,10000,136000,B,10000
459,459,Male,No,1,UG,23000,338000,A,15000
460,460,Female,No,3,Ph.d,16000,253000,B,10000
461,461,Male,Yes,5,Not Educated,9000,73000,B,10000
462,462,Male,Yes,3,Ph.d,44000,405000,C,5000
463,463,Male,Yes,5,Not Educated,44000,433000,B,10000
464,464,Female,No,3,PG,19000,39000,B,10000
465,465,Male,Yes,1,Ph.d,50000,361000,B,10000
466,466,Male,No,2,PG,30000,67000,B,10000
467,467,Male,Yes,5,Not Educated,11000,202000,A,15000
468,468,Female,Yes,4,Ph.d,27000,76000,B,10000
469,469,Male,Yes,3,Not Educated,5000,385000,D,2500
470,470,Male,Yes,2,PG,29000,421000,D,2500
471,471,Male,No,0,Ph.d,47000,242000,C,5000
472,472,Male,No,4,UG,21000,125000,B,10000
473,473,Female,No,2,PG,42000,274000,A,15000
474,474,Male,No,5,Ph.d,7000,286000,B,10000
475,475,Female,Yes,1,UG,30000,472000,B,10000
476,476,Female,No,1,Ph.d,5000,409000,C,5000
477,477,Male,Yes,5,Ph.d,43000,75000,B,10000
478,478,Female,Yes,4,Ph.d,37000,199000,B,10000
479,479,Female,No,4,Ph.d,10000,80000,B,10000
480,480,Female,Yes,3,Ph.d,48000,134000,B,10000
481,481,Male,No,2,UG,14000,248000,C,5000
482,482,Male,Yes,3,Ph.d,37000,132000,B,10000
483,483,Male,No,0,PG,31000,207000,B,10000
