,Unnamed: 0,Entity ID,Gender,Marital Status,Dependents,Education,Entity's Income in INR,Entity's Family Income in INR,City Type,Average Expenditure per Entity per Month in INR,Economic Status
52,52,52,Male,Yes,5,Ph.d,31000,130000,B,10000,Moderate
53,53,53,Male,Yes,0,Ph.d,37000,242000,D,2500,Good
54,54,54,Male,Yes,1,Ph.d,33000,199000,B,10000,Good
55,55,55,Male,No,4,Ph.d,16000,391000,C,5000,Excellent
56,56,56,Female,Yes,4,Not Educated,15000,366000,A,15000,Excellent
57,57,57,Male,No,3,Ph.d,19000,343000,B,10000,Excellent
58,58,58,Female,Yes,2,Ph.d,36000,402000,B,10000,Excellent
59,59,59,Female,No,0,UG,27000,49000,A,15000,Average
60,60,60,Male,Yes,1,Ph.d,46000,70000,D,2500,Moderate
61,61,61,Male,Yes,4,PG,46000,76000,D,2500,Moderate
62,62,62,Male,Yes,2,Ph.d,12000,435000,B,10000,Excellent
63,63,63,Male,Yes,4,PG,39000,66000,B,10000,Average
64,64,64,Male,No,4,Ph.d,36000,152000,A,15000,Moderate
65,65,65,Male,Yes,4,Ph.d,46000,116000,B,10000,Moderate
66,66,66,Female,Yes,3,UG,33000,58000,B,10000,Average
67,67,67,Female,No,3,Ph.d,25000,145000,B,10000,Moderate
68,68,68,Male,Yes,5,Ph.d,24000,72000,B,10000,Average
69,69,69,Male,Yes,0,Ph.d,26000,84000,B,10000,Moderate
70,70,70,Male,Yes,4,Not Educated,14000,169000,D,2500,Moderate
71,71,71,Male,Yes,3,PG,48000,246000,B,10000,Good
72,72,72,Female,Yes,0,Ph.d,25000,236000,D,2500,Good
73,73,73,Male,Yes,5,Ph.d,27000,314000,B,10000,Good
74,74,74,Male,Yes,3,PG,10000,415000,D,2500,Excellent
75,75,75,Female,Yes,1,Not Educated,43000,367000,B,10000,Excellent
76,76,76,Female,Yes,2,Ph.d,16000,119000,B,10000,Moderate
77,77,77,Male,Yes,1,UG,11000,253000,B,10000,Good
78,78,78,Female,Yes,2,Not Educated,50000,227000,B,10000,Good
79,79,79,Female,No,2,Ph.d,21000,393000,B,10000,Excellent
80,80,80,Male,Yes,4,Ph.d,40000,167000,D,2500,Moderate
81,81,81,Male,Yes,2,PG,32000,488000,B,10000,Excellent
82,82,82,Female,Yes,5,Ph.d,47000,141000,C,5000,Moderate
83,83,83,Male,Yes,1,PG,37000,75000,C,5000,Moderate
84,84,84,Male,No,5,Ph.d,46000,230000,B,10000,Good
85,85,85,Female,Yes,3,Ph.d,36000,354000,A,15000,Excellent
86,86,86,Male,Yes,1,UG,11000,207000,C,5000,Good
87,87,87,Male,Yes,4,Ph.d,8000,491000,A,15000,Excellent
88,88,88,Male,No,1,PG,33000,480000,C,5000,Excellent
89,89,89,Female,Yes,3,Ph.d,19000,450000,C,5000,Excellent
90,90,90,Male,Yes,0,Ph.d,12000,85000,D,2500,Moderate
91,91,91,Male,Yes,1,Not Educated,9000,101000,C,5000,Moderate
92,92,92,Female,No,5,Ph.d,33000,292000,D,2500,Good
93,93,93,Male,Yes,2,PG,26000,127000,C,5000,Moderate
94,94,94,Male,Yes,1,Ph.d,17000,49000,B,10000,Average
95,95,95,Male,Yes,4,Ph.d,43000,275000,B,10000,Good
96,96,96,Male,Yes,1,Ph.d,7000,216000,B,10000,Good
97,97,97,Male,Yes,1,PG,16000,447000,A,15000,Excellent
98,98,98,Female,Yes,0,UG,31000,88000,D,2500,Moderate
99,99,99,Male,Yes,2,Ph.d,16000,367000,B,10000,Excellent
100,100,100,Male,Yes,0,Ph.d,26000,267000,B,10000,Good
101,101,101,Male,No,1,UG,13000,135000,C,5000,Moderate
102,102,102,Female,Yes,5,UG,11000,435000,B,10000,Excellent
103,103,103,Female,No,5,PG,45000,473000,B,10000,Excellent
104,104,104,Male,Yes,0,Not Educated,39000,465000,C,5000,Excellent
105,105,105,Male,Yes,1,Ph.d,23000,149000,B,10000,Moderate
106,106,106,Male,Yes,5,Ph.d,14000,351000,D,2500,Excellent
107,107,107,Male,No,2,Ph.d,31000,187000,B,10000,Good
108,108,108,Male,No,0,Ph.d,29000,148000,A,15000,Moderate
109,109,109,Female,Yes,3,Ph.d,43000,56000,B,10000,Average
110,110,110,Male,Yes,3,Ph.d,24000,347000,B,10000,Excellent
111,111,111,Male,Yes,4,Ph.d,13000,36000,B,10000,Poor
112,112,112,Male,Yes,1,Ph.d,8000,455000,B,10000,Excellent
113,113,113,Male,No,0,Ph.d,19000,476000,D,2500,Excellent
114,114,114,Male,No,0,Ph.d,33000,292000,B,10000,Excellent
115,115,115,Male,No,1,Ph.d,29000,344000,D,2500,Excellent
116,116,116,Male,Yes,1,Ph.d,10000,126000,B,10000,Moderate
117,117,117,Female,Yes,4,Ph.d,23000,82000,B,10000,Average
118,118,118,Male,No,0,Ph.d,17000,283000,C,5000,Good
119,119,119,Female,Yes,5,Ph.d,36000,75000,B,10000,Average
120,120,120,Male,Yes,3,Ph.d,47000,404000,B,10000,Excellent
121,121,121,Male,Yes,2,UG,37000,462000,C,5000,Excellent
122,122,122,Female,Yes,1,Ph.d,50000,360000,B,10000,Excellent
123,123,123,Male,Yes,2,PG,40000,423000,B,10000,Excellent
124,124,124,Male,Yes,2,Not Educated,38000,440000,B,10000,Excellent
125,125,125,Male,Yes,0,Ph.d,42000,187000,B,10000,Good
126,126,126,Male,Yes,4,Ph.d,33000,210000,B,10000,Good
127,127,127,Female,Yes,2,Ph.d,8000,249000,B,10000,Good
128,128,128,Male,Yes,4,Ph.d,10000,452000,C,5000,Excellent
129,129,129,Male,Yes,4,Ph.d,45000,49000,B,10000,Average
130,130,130,Male,Yes,5,UG,31000,283000,B,10000,Good
131,131,131,Male,Yes,0,PG,11000,429000,B,10000,Excellent
132,132,132,Male,No,2,Ph.d,7000,144000,B,10000,Moderate
133,133,133,Male,No,5,Ph.d,10000,74000,B,10000,Average
134,134,134,Male,Yes,3,Ph.d,36000,394000,B,10000,Excellent
135,135,135,Female,No,1,Ph.d,25000,217000,B,10000,Good
136,136,136,Male,Yes,3,Not Educated,42000,419000,B,10000,Excellent
137,137,137,Male,Yes,0,UG,19000,411000,B,10000,Excellent
138,138,138,Male,No,1,Ph.d,13000,230000,B,10000,Good
139,139,139,Male,Yes,3,Ph.d,49000,456000,B,10000,Excellent
140,140,140,Male,Yes,1,Not Educated,12000,205000,B,10000,Good
141,141,141,Male,Yes,4,Ph.d,49000,428000,B,10000,Excellent
142,142,142,Female,No,0,PG,28000,191000,A,15000,Good
143,143,143,Male,Yes,3,Ph.d,33000,361000,B,10000,Excellent
144,144,144,Female,No,1,Ph.d,28000,221000,A,15000,Good
145,145,145,Male,Yes,2,UG,35000,399000,B,10000,Excellent
146,146,146,Male,Yes,0,PG,38000,343000,A,15000,Excellent
147,147,147,Male,Yes,5,Ph.d,13000,84000,B,10000,Average
148,148,148,Male,Yes,3,Ph.d,43000,386000,B,10000,Excellent
149,149,149,Female,Yes,1,Ph.d,30000,263000,C,5000,Good
150,150,150,Male,Yes,1,Ph.d,30000,150000,C,5000,Moderate
151,151,151,Male,Yes,5,Not Educated,42000,294000,C,5000,Good
152,152,152,Male,Yes,3,UG,37000,360000,A,15000,Excellent
153,153,153,Male,Yes,1,Ph.d,7000,137000,A,15000,Moderate
154,154,154,Male,Yes,2,Ph.d,13000,167000,D,2500,Moderate
155,155,155,Male,Yes,1,Ph.d,13000,59000,B,10000,Average
156,156,156,Female,Yes,5,Not Educated,46000,101000,A,15000,Average
157,157,157,Female,No,0,Ph.d,30000,109000,A,15000,Moderate
158,158,158,Male,Yes,2,PG,19000,23000,D,2500,Average
159,159,159,Male,Yes,1,UG,24000,480000,B,10000,Excellent
160,160,160,Male,Yes,5,Ph.d,43000,221000,B,10000,Good
161,161,161,Female,Yes,4,Ph.d,32000,489000,A,15000,Excellent
162,162,162,Male,Yes,4,Ph.d,29000,368000,C,5000,Excellent
163,163,163,Female,No,4,Ph.d,39000,153000,B,10000,Moderate
164,164,164,Male,Yes,5,Not Educated,46000,421000,A,15000,Excellent
165,165,165,Male,Yes,0,Ph.d,18000,51000,B,10000,Average
166,166,166,Male,Yes,4,Ph.d,19000,496000,D,2500,Excellent
167,167,167,Female,Yes,4,UG,7000,134000,B,10000,Moderate
168,168,168,Male,Yes,3,Ph.d,42000,301000,B,10000,Good
169,169,169,Male,Yes,2,Ph.d,48000,439000,D,2500,Excellent
170,170,170,Male,No,0,PG,41000,348000,B,10000,Excellent
171,171,171,Male,Yes,5,Ph.d,19000,430000,A,15000,Excellent
172,172,172,Male,Yes,1,PG,46000,426000,D,2500,Excellent
173,173,173,Female,Yes,1,Ph.d,34000,245000,B,10000,Good
174,174,174,Male,Yes,0,Not Educated,27000,277000,B,10000,Good
175,175,175,Male,No,0,Ph.d,40000,46000,C,5000,Average
176,176,176,Female,Yes,4,Ph.d,16000,268000,B,10000,Good
177,177,177,Female,Yes,5,Ph.d,13000,162000,D,2500,Moderate
178,178,178,Male,Yes,2,Ph.d,15000,421000,B,10000,Excellent
179,179,179,Male,Yes,4,Not Educated,28000,402000,B,10000,Excellent
180,180,180,Female,Yes,3,Ph.d,14000,279000,B,10000,Good
181,181,181,Female,Yes,3,Ph.d,47000,267000,B,10000,Good
182,182,182,Female,Yes,0,Ph.d,46000,49000,B,10000,Average
183,183,183,Male,Yes,0,Not Educated,50000,113000,B,10000,Moderate
184,184,184,Female,Yes,4,Ph.d,19000,288000,C,5000,Good
185,185,185,Male,No,0,PG,40000,102000,B,10000,Moderate
186,186,186,Female,Yes,2,UG,48000,100000,C,5000,Moderate
187,187,187,Male,Yes,3,PG,38000,460000,B,10000,Excellent
188,188,188,Male,Yes,1,Ph.d,44000,497000,B,10000,Excellent
189,189,189,Male,Yes,2,Ph.d,16000,293000,C,5000,Good
190,190,190,Male,Yes,1,UG,38000,285000,B,10000,Good
191,191,191,Male,No,0,Not Educated,48000,73000,B,10000,Moderate
192,192,192,Male,No,0,Not Educated,39000,153000,D,2500,Moderate
193,193,193,Male,Yes,2,Ph.d,30000,370000,A,15000,Excellent
194,194,194,Female,Yes,5,Ph.d,42000,77000,B,10000,Average
195,195,195,Male,Yes,4,Ph.d,12000,202000,B,10000,Moderate
196,196,196,Female,Yes,2,PG,25000,251000,B,10000,Good
197,197,197,Male,No,0,Ph.d,9000,336000,B,10000,Excellent
198,198,198,Male,Yes,4,Ph.d,20000,274000,D,2500,Good
199,199,199,Male,No,3,Ph.d,36000,291000,A,15000,Good
200,200,200,Male,Yes,0,Ph.d,47000,440000,B,10000,Excellent
201,201,201,Male,No,4,Ph.d,19000,211000,A,15000,Moderate
202,202,202,Male,Yes,3,Ph.d,16000,495000,C,5000,Excellent
203,203,203,Male,Yes,0,Ph.d,31000,135000,C,5000,Moderate
204,204,204,Male,Yes,0,PG,44000,374000,B,10000,Excellent
205,205,205,Male,Yes,5,Ph.d,41000,241000,B,10000,Good
206,206,206,Male,Yes,2,PG,31000,403000,B,10000,Excellent
207,207,207,Female,No,4,Ph.d,37000,212000,B,10000,Good
208,208,208,Male,No,5,Ph.d,31000,465000,B,10000,Excellent
209,209,209,Male,No,1,Ph.d,49000,385000,B,10000,Excellent
210,210,210,Male,Yes,1,Ph.d,39000,414000,B,10000,Excellent
211,211,211,Male,Yes,2,Ph.d,47000,300000,B,10000,Good
212,212,212,Male,Yes,1,Ph.d,24000,313000,B,10000,Excellent
213,213,213,Male,No,2,Ph.d,5000,276000,B,10000,Good
214,214,214,Male,No,5,Ph.d,40000,217000,B,10000,Good
215,215,215,Male,Yes,4,Ph.d,32000,47000,B,10000,Average
216,216,216,Female,Yes,0,Ph.d,19000,455000,C,5000,Excellent
217,217,217,Male,Yes,1,Ph.d,35000,463000,B,10000,Excellent
218,218,218,Male,Yes,1,UG,47000,405000,B,10000,Excellent
219,219,219,Male,Yes,3,Ph.d,44000,204000,C,5000,Good
220,220,220,Male,Yes,5,Ph.d,28000,392000,C,5000,Excellent
221,221,221,Male,Yes,5,Ph.d,21000,434000,A,15000,Excellent
222,222,222,Female,Yes,0,UG,19000,61000,B,10000,Average
223,223,223,Male,Yes,4,Ph.d,13000,168000,B,10000,Moderate
224,224,224,Male,Yes,4,Ph.d,9000,471000,B,10000,Excellent
225,225,225,Male,No,1,PG,23000,110000,B,10000,Moderate
226,226,226,Female,No,2,Ph.d,40000,106000,B,10000,Moderate
227,227,227,Male,No,2,Ph.d,26000,133000,B,10000,Moderate
228,228,228,Male,No,1,Ph.d,22000,289000,A,15000,Good
229,229,229,Male,Yes,1,Ph.d,17000,265000,B,10000,Good
230,230,230,Male,Yes,2,Ph.d,36000,134000,B,10000,Moderate
231,231,231,Male,Yes,4,UG,8000,21000,A,15000,Poor
232,232,232,Male,Yes,0,UG,41000,271000,B,10000,Good
233,233,233,Male,Yes,4,Ph.d,39000,278000,A,15000,Good
234,234,234,Male,No,3,Ph.d,18000,198000,A,15000,Moderate
235,235,235,Male,Yes,3,UG,29000,234000,B,10000,Good
236,236,236,Male,Yes,2,Ph.d,47000,486000,B,10000,Excellent
237,237,237,Male,No,4,Ph.d,48000,432000,D,2500,Excellent
238,238,238,Male,No,5,PG,15000,24000,C,5000,Poor
239,239,239,Male,Yes,4,Ph.d,16000,415000,B,10000,Excellent
240,240,240,Female,Yes,2,Ph.d,46000,311000,B,10000,Good
241,241,241,Male,Yes,4,UG,15000,496000,C,5000,Excellent
242,242,242,Female,Yes,3,Not Educated,43000,139000,B,10000,Moderate
243,243,243,Male,No,4,Ph.d,43000,439000,A,15000,Excellent
244,244,244,Male,Yes,5,Ph.d,46000,218000,B,10000,Good
245,245,245,Male,No,1,Ph.d,42000,159000,B,10000,Moderate
246,246,246,Male,Yes,0,UG,25000,340000,A,15000,Excellent
247,247,247,Male,Yes,3,Ph.d,45000,406000,B,10000,Excellent
248,248,248,Female,Yes,3,Ph.d,40000,486000,B,10000,Excellent
249,249,249,Male,Yes,4,Ph.d,7000,443000,B,10000,Excellent
250,250,250,Female,Yes,5,Ph.d,31000,52000,B,10000,Poor
251,251,251,Male,Yes,0,Ph.d,45000,377000,B,10000,Excellent
252,252,252,Male,Yes,4,Ph.d,17000,458000,B,10000,Excellent
253,253,253,Male,Yes,3,Ph.d,40000,421000,A,15000,Excellent
254,254,254,Male,Yes,1,Ph.d,12000,314000,B,10000,Excellent
255,255,255,Female,Yes,0,Not Educated,29000,345000,D,2500,Excellent
256,256,256,Male,Yes,1,Ph.d,25000,463000,B,10000,Excellent
257,257,257,Female,Yes,5,Not Educated,32000,114000,B,10000,Moderate
258,258,258,Female,Yes,1,UG,16000,361000,D,2500,Excellent
259,259,259,Male,No,4,Ph.d,17000,19000,A,15000,Poor
260,260,260,Male,No,3,UG,26000,245000,B,10000,Good
261,261,261,Female,Yes,2,Ph.d,43000,413000,B,10000,Excellent
262,262,262,Male,No,0,Ph.d,11000,410000,D,2500,Excellent
263,263,263,Male,Yes,4,PG,11000,230000,B,10000,Good
264,264,264,Male,Yes,4,PG,43000,123000,B,10000,Moderate
265,265,265,Male,Yes,3,Ph.d,18000,87000,B,10000,Average
266,266,266,Female,Yes,1,Ph.d,35000,469000,A,15000,Excellent
267,267,267,Male,Yes,3,UG,11000,496000,B,10000,Excellent
268,268,268,Male,No,2,Ph.d,32000,312000,D,2500,Excellent
269,269,269,Female,Yes,3,Ph.d,37000,108000,C,5000,Moderate
270,270,270,Female,No,5,PG,39000,63000,B,10000,Average
271,271,271,Male,No,5,Ph.d,46000,488000,B,10000,Excellent
272,272,272,Male,Yes,5,Ph.d,21000,90000,D,2500,Moderate
273,273,273,Male,Yes,4,Ph.d,28000,449000,B,10000,Excellent
274,274,274,Female,Yes,5,Ph.d,27000,364000,D,2500,Excellent
275,275,275,Male,Yes,2,PG,14000,476000,B,10000,Excellent
276,276,276,Male,Yes,3,Ph.d,40000,343000,D,2500,Excellent
277,277,277,Male,Yes,5,UG,36000,376000,B,10000,Excellent
278,278,278,Male,Yes,2,Ph.d,36000,483000,B,10000,Excellent
279,279,279,Male,Yes,5,UG,8000,298000,B,10000,Good
280,280,280,Male,Yes,4,Ph.d,45000,150000,B,10000,Moderate
281,281,281,Male,No,1,Ph.d,32000,434000,A,15000,Excellent
282,282,282,Female,Yes,4,UG,29000,167000,B,10000,Moderate
283,283,283,Female,Yes,5,Not Educated,10000,424000,B,10000,Excellent
284,284,284,Male,No,2,Ph.d,16000,282000,B,10000,Good
285,285,285,Male,No,2,Ph.d,23000,120000,B,10000,Moderate
286,286,286,Male,Yes,3,PG,34000,469000,D,2500,Excellent
287,287,287,Male,Yes,4,Ph.d,19000,150000,B,10000,Moderate
288,288,288,Male,Yes,4,Ph.d,39000,473000,B,10000,Excellent
289,289,289,Male,Yes,1,PG,44000,54000,D,2500,Average
290,290,290,Female,Yes,4,Ph.d,18000,122000,C,5000,Moderate
291,291,291,Male,No,5,Ph.d,32000,209000,B,10000,Moderate
292,292,292,Male,Yes,5,Ph.d,11000,128000,C,5000,Moderate
293,293,293,Male,Yes,2,PG,39000,218000,C,5000,Good
294,294,294,Male,No,1,UG,6000,100000,D,2500,Moderate
295,295,295,Female,Yes,5,Ph.d,17000,272000,B,10000,Good
296,296,296,Male,Yes,4,Ph.d,46000,313000,B,10000,Good
297,297,297,Female,Yes,3,Ph.d,23000,135000,B,10000,Moderate
298,298,298,Male,No,4,Ph.d,34000,157000,B,10000,Moderate
299,299,299,Male,Yes,1,Ph.d,35000,306000,B,10000,Excellent
300,300,300,Male,Yes,1,Not Educated,12000,241000,B,10000,Good
301,301,301,Male,Yes,2,Ph.d,46000,294000,B,10000,Good
302,302,302,Female,Yes,2,Ph.d,13000,431000,B,10000,Excellent
303,303,303,Male,Yes,2,Ph.d,47000,169000,B,10000,Moderate
304,304,304,Female,No,5,Ph.d,13000,259000,B,10000,Good
305,305,305,Male,Yes,2,PG,27000,230000,D,2500,Good
306,306,306,Male,Yes,5,Ph.d,7000,127000,B,10000,Moderate
307,307,307,Male,Yes,3,Not Educated,26000,478000,B,10000,Excellent
308,308,308,Male,Yes,5,Not Educated,47000,393000,D,2500,Excellent
309,309,309,Male,Yes,3,PG,36000,426000,B,10000,Excellent
310,310,310,Female,Yes,2,PG,7000,8000,A,15000,Poor
311,311,311,Female,Yes,2,Ph.d,26000,345000,B,10000,Excellent
312,312,312,Male,Yes,4,Ph.d,37000,370000,B,10000,Excellent
313,313,313,Female,Yes,5,PG,10000,99000,B,10000,Average
314,314,314,Male,Yes,5,PG,30000,406000,B,10000,Excellent
315,315,315,Female,Yes,2,UG,22000,88000,A,15000,Average
316,316,316,Male,Yes,0,Ph.d,23000,237000,B,10000,Good
317,317,317,Male,Yes,2,UG,6000,194000,C,5000,Good
318,318,318,Male,Yes,1,Ph.d,46000,428000,B,10000,Excellent
319,319,319,Male,Yes,0,Ph.d,11000,52000,D,2500,Average
320,320,320,Male,No,3,Not Educated,25000,370000,B,10000,Excellent
321,321,321,Male,No,4,Ph.d,25000,72000,B,10000,Average
322,322,322,Male,Yes,4,Ph.d,45000,328000,B,10000,Good
323,323,323,Female,Yes,1,UG,22000,191000,B,10000,Good
324,324,324,Male,Yes,0,Ph.d,24000,192000,B,10000,Good
325,325,325,Female,Yes,1,UG,46000,313000,B,10000,Excellent
326,326,326,Male,Yes,0,Ph.d,9000,336000,B,10000,Excellent
327,327,327,Male,No,5,Ph.d,38000,485000,B,10000,Excellent
328,328,328,Male,No,2,Ph.d,17000,245000,C,5000,Good
329,329,329,Female,Yes,0,PG,34000,369000,A,15000,Excellent
330,330,330,Female,Yes,0,UG,37000,444000,C,5000,Excellent
331,331,331,Male,Yes,1,Ph.d,45000,175000,B,10000,Moderate
332,332,332,Male,No,0,UG,27000,68000,A,15000,Moderate
333,333,333,Female,Yes,5,Ph.d,10000,225000,B,10000,Good
334,334,334,Male,Yes,4,UG,17000,140000,B,10000,Moderate
335,335,335,Male,Yes,3,Ph.d,37000,277000,A,15000,Good
336,336,336,Male,Yes,0,Not Educated,20000,190000,B,10000,Good
337,337,337,Male,Yes,5,Ph.d,30000,473000,B,10000,Excellent
338,338,338,Male,Yes,4,Ph.d,24000,274000,B,10000,Good
339,339,339,Male,Yes,3,Ph.d,6000,361000,B,10000,Excellent
340,340,340,Female,Yes,5,UG,46000,130000,B,10000,Moderate
341,341,341,Male,Yes,0,Not Educated,31000,396000,A,15000,Excellent
342,342,342,Male,Yes,2,PG,14000,53000,B,10000,Average
343,343,343,Female,Yes,2,Ph.d,33000,49000,B,10000,Average
344,344,344,Male,Yes,1,UG,13000,230000,B,10000,Good
345,345,345,Male,Yes,3,UG,40000,267000,A,15000,Good
346,346,346,Female,Yes,0,Ph.d,26000,276000,C,5000,Good
347,347,347,Male,Yes,5,PG,30000,178000,B,10000,Moderate
348,348,348,Male,Yes,2,PG,28000,73000,B,10000,Average
349,349,349,Male,Yes,5,Ph.d,31000,263000,B,10000,Good
350,350,350,Female,No,2,PG,16000,238000,B,10000,Good
351,351,351,Male,No,4,Ph.d,6000,195000,A,15000,Moderate
352,352,352,Male,No,5,Ph.d,41000,168000,B,10000,Moderate
353,353,353,Male,Yes,0,PG,43000,320000,B,10000,Excellent
354,354,354,Male,Yes,3,Ph.d,26000,177000,D,2500,Good
355,355,355,Female,Yes,1,Ph.d,36000,296000,D,2500,Excellent
356,356,356,Male,No,5,Ph.d,20000,314000,D,2500,Excellent
357,357,357,Male,Yes,1,PG,11000,465000,C,5000,Excellent
358,358,358,Female,Yes,1,Ph.d,24000,399000,B,10000,Excellent
359,359,359,Male,Yes,3,Ph.d,23000,381000,C,5000,Excellent
360,360,360,Male,Yes,3,Not Educated,14000,29000,C,5000,Average
361,361,361,Male,No,0,Not Educated,13000,166000,B,10000,Moderate
362,362,362,Male,No,2,PG,18000,223000,B,10000,Good
363,363,363,Male,No,1,UG,40000,259000,B,10000,Good
364,364,364,Male,No,0,PG,9000,121000,B,10000,Moderate
365,365,365,Male,Yes,1,PG,36000,237000,D,2500,Good
366,366,366,Male,Yes,1,PG,34000,174000,B,10000,Moderate
367,367,367,Male,No,3,UG,25000,362000,A,15000,Excellent
368,368,368,Male,Yes,0,PG,21000,332000,B,10000,Excellent
369,369,369,Male,Yes,2,Ph.d,49000,217000,B,10000,Good
370,370,370,Male,Yes,3,Not Educated,23000,412000,B,10000,Excellent
371,371,371,Male,Yes,5,Not Educated,48000,176000,A,15000,Moderate
372,372,372,Female,Yes,5,Not Educated,13000,26000,C,5000,Poor
373,373,373,Male,Yes,2,Ph.d,40000,348000,B,10000,Excellent
374,374,374,Male,Yes,5,Ph.d,37000,198000,B,10000,Moderate
375,375,375,Male,Yes,1,PG,13000,149000,B,10000,Moderate
376,376,376,Male,Yes,3,Ph.d,38000,124000,B,10000,Moderate
377,377,377,Male,Yes,2,PG,43000,319000,B,10000,Excellent
378,378,378,Male,No,1,Ph.d,42000,371000,B,10000,Excellent
379,379,379,Female,Yes,1,Not Educated,6000,349000,A,15000,Excellent
380,380,380,Male,Yes,0,Ph.d,43000,468000,B,10000,Excellent
381,381,381,Male,Yes,0,PG,7000,64000,B,10000,Moderate
382,382,382,Female,Yes,4,Ph.d,21000,269000,A,15000,Good
383,383,383,Male,Yes,3,Ph.d,18000,465000,C,5000,Excellent
384,384,384,Male,Yes,5,Ph.d,30000,125000,A,15000,Average
385,385,385,Female,No,2,UG,45000,323000,A,15000,Excellent
386,386,386,Male,Yes,5,PG,17000,139000,D,2500,Moderate
387,387,387,Female,No,5,Not Educated,34000,390000,B,10000,Excellent
388,388,388,Male,Yes,5,Ph.d,41000,208000,D,2500,Good
389,389,389,Female,No,4,Not Educated,43000,296000,B,10000,Good
390,390,390,Male,Yes,1,PG,46000,281000,B,10000,Good
391,391,391,Male,Yes,1,Ph.d,33000,452000,D,2500,Excellent
392,392,392,Male,Yes,3,UG,31000,90000,B,10000,Average
393,393,393,Male,No,3,UG,18000,370000,A,15000,Excellent
394,394,394,Male,Yes,2,PG,38000,110000,B,10000,Moderate
